ConformationTimeStamp,ITQ_Value 7,ITQ_Value 11,ITQ_Value 35,ITQ_Value 63,ActiveBinding
adrb2_528000,NA,NA,NA,NA,NA
adrb2_528400,NA,NA,NA,NA,NA
adrb2_528600,NA,NA,NA,NA,NA
adrb2_528800,NA,NA,NA,NA,NA
adrb2_529000,NA,NA,NA,NA,NA
adrb2_529200,NA,NA,NA,NA,NA
adrb2_529400,1,1,34,(73),Y
adrb2_529600,NA,NA,NA,NA,NA
adrb2_529800,NA,NA,NA,NA,NA
adrb2_530000,NA,NA,NA,NA,NA
adrb2_530200,NA,NA,NA,NA,NA
adrb2_530400,NA,NA,NA,NA,NA
adrb2_530600,NA,NA,NA,NA,NA
adrb2_530800,NA,NA,NA,NA,NA
adrb2_531000,NA,NA,NA,NA,NA
adrb2_531200,NA,NA,NA,NA,NA
adrb2_531400,NA,NA,NA,NA,NA
adrb2_531600,NA,NA,NA,NA,NA
adrb2_531800,NA,NA,NA,NA,NA
adrb2_532000,NA,NA,NA,NA,NA
adrb2_532200,NA,NA,NA,NA,NA
adrb2_532400,NA,NA,NA,NA,NA
adrb2_532600,NA,NA,NA,NA,NA
adrb2_532800,NA,NA,NA,NA,NA
adrb2_533000,NA,NA,NA,NA,NA
adrb2_533200,NA,NA,NA,NA,NA
adrb2_533400,NA,NA,NA,NA,NA
adrb2_533600,NA,NA,NA,NA,NA
adrb2_533800,NA,NA,NA,NA,NA
adrb2_534000,NA,NA,NA,NA,NA
adrb2_534200,NA,NA,NA,NA,NA
adrb2_534400,NA,NA,NA,NA,NA
adrb2_534600,NA,NA,NA,NA,NA
adrb2_534800,NA,NA,NA,NA,NA
adrb2_535000,NA,NA,NA,NA,NA
adrb2_535200,NA,NA,NA,NA,NA
adrb2_535400,NA,NA,NA,NA,NA
adrb2_535600,NA,NA,NA,NA,NA
adrb2_535800,NA,NA,NA,NA,NA
adrb2_536000,NA,NA,NA,NA,NA
adrb2_536200,NA,NA,NA,NA,NA
adrb2_536400,NA,NA,NA,NA,NA
adrb2_536600,NA,NA,NA,NA,NA
adrb2_536800,NA,NA,NA,NA,NA
adrb2_537000,NA,NA,NA,NA,NA
adrb2_537200,NA,NA,NA,NA,NA
adrb2_537400,NA,NA,NA,NA,NA
adrb2_537600,NA,NA,NA,NA,NA
